"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12"
"5370039.00","Hamilton","0039.00",1.70,4575.00,5155.00,5155.00,3060.00,3060.00,3065.00,4635.00,3340.00,7.80
"5370040.00","Hamilton","0040.00",1.90,1745.00,1905.00,1905.00,1040.00,1040.00,1040.00,1690.00,1240.00,5.50
"5370041.00","Hamilton","0041.00",1.80,1770.00,1950.00,1950.00,1080.00,1080.00,1080.00,1765.00,1220.00,6.90
"5370042.00","Hamilton","0042.00",2.10,2180.00,2595.00,2600.00,1230.00,1230.00,1235.00,2160.00,1560.00,4.60
"5370043.00","Hamilton","0043.00",2.40,3175.00,3535.00,3535.00,1485.00,1490.00,1485.00,3195.00,1705.00,13.50
"5370044.00","Hamilton","0044.00",1.80,3910.00,4180.00,4180.00,2335.00,2335.00,2335.00,3760.00,2300.00,10.00
"5370045.00","Hamilton","0045.00",2.50,2515.00,2985.00,2980.00,1160.00,1160.00,1160.00,2645.00,1325.00,8.90
"5370046.00","Hamilton","0046.00",2.20,2655.00,3100.00,3105.00,1380.00,1375.00,1375.00,2590.00,1635.00,7.60
"5370047.00","Hamilton","0047.00",1.80,2715.00,3095.00,3100.00,1695.00,1700.00,1700.00,2775.00,1685.00,4.40
"5370048.00","Hamilton","0048.00",1.60,1420.00,1420.00,1420.00,880.00,880.00,880.00,1325.00,975.00,11.40
"5370049.00","Hamilton","0049.00",1.80,1880.00,2075.00,2080.00,1175.00,1175.00,1175.00,1815.00,1210.00,11.40
"5370050.00","Hamilton","0050.00",2.00,2985.00,3670.00,3670.00,1750.00,1750.00,1750.00,3010.00,2035.00,14.20
"5370051.00","Hamilton","0051.00",2.20,3370.00,4440.00,4440.00,1980.00,1975.00,1975.00,3570.00,2310.00,12.10
"5370052.00","Hamilton","0052.00",2.10,2970.00,3385.00,3385.00,1590.00,1590.00,1585.00,2910.00,2090.00,12.10
"5370053.00","Hamilton","0053.00",2.40,2530.00,3085.00,3085.00,1285.00,1285.00,1285.00,2505.00,1810.00,9.90
"5370054.00","Hamilton","0054.00",2.20,2150.00,2545.00,2540.00,1160.00,1165.00,1165.00,2170.00,1595.00,8.20
"5370055.00","Hamilton","0055.00",2.30,2430.00,2995.00,2995.00,1275.00,1280.00,1275.00,2540.00,1810.00,6.40
"5370056.00","Hamilton","0056.00",2.30,2835.00,3230.00,3230.00,1400.00,1395.00,1400.00,2815.00,1890.00,5.90
"5370057.00","Hamilton","0057.00",2.20,2525.00,2885.00,2885.00,1320.00,1315.00,1320.00,2445.00,1725.00,9.80
"5370058.00","Hamilton","0058.00",2.20,1990.00,2380.00,2380.00,1045.00,1045.00,1045.00,1950.00,1395.00,7.90
"5370059.00","Hamilton","0059.00",2.40,2440.00,3045.00,3045.00,1265.00,1260.00,1265.00,2470.00,1785.00,8.00
"5370060.00","Hamilton","0060.00",2.60,2120.00,2720.00,2720.00,1055.00,1055.00,1055.00,2185.00,1470.00,11.50
"5370061.00","Hamilton","0061.00",2.60,2380.00,2735.00,2735.00,1110.00,1110.00,1110.00,2180.00,1560.00,12.30
"5370062.00","Hamilton","0062.00",2.40,2700.00,3100.00,3100.00,1355.00,1360.00,1355.00,2645.00,1880.00,9.80
"5370063.00","Hamilton","0063.00",2.20,2100.00,2430.00,2430.00,1105.00,1105.00,1105.00,2025.00,1380.00,11.20
"5370064.00","Hamilton","0064.00",2.20,1385.00,1635.00,1635.00,760.00,755.00,755.00,1490.00,1025.00,11.50
"5370065.00","Hamilton","0065.00",2.60,1915.00,2460.00,2455.00,960.00,955.00,955.00,1930.00,1390.00,9.60
"5370066.00","Hamilton","0066.00",2.40,4115.00,4970.00,4965.00,2055.00,2055.00,2055.00,4115.00,2830.00,7.10
"5370067.00","Hamilton","0067.00",2.70,1455.00,1700.00,1695.00,635.00,635.00,635.00,1320.00,945.00,11.00
"5370068.00","Hamilton","0068.00",2.20,730.00,855.00,855.00,400.00,400.00,395.00,740.00,545.00,16.20
"5370069.00","Hamilton","0069.00",2.30,720.00,960.00,960.00,400.00,395.00,400.00,820.00,575.00,14.30
"5370070.00","Hamilton","0070.00",2.40,1820.00,2230.00,2230.00,890.00,885.00,890.00,1870.00,1325.00,10.10
"5370071.00","Hamilton","0071.00",2.40,5210.00,6515.00,6515.00,2715.00,2715.00,2720.00,5210.00,3375.00,10.50
"5370072.01","Hamilton","0072.01",2.60,,90.00,90.00,45.00,40.00,40.00,85.00,45.00,0.00
"5370072.02","Hamilton","0072.02",2.20,3340.00,3970.00,3970.00,1770.00,1770.00,1770.00,3390.00,1790.00,10.30
"5370072.03","Hamilton","0072.03",2.40,5380.00,6545.00,6540.00,2735.00,2735.00,2735.00,5380.00,3640.00,10.30
"5370072.04","Hamilton","0072.04",2.70,2905.00,3440.00,3440.00,1245.00,1245.00,1245.00,2925.00,1835.00,8.70
"5370073.00","Hamilton","0073.00",2.10,1035.00,1195.00,1190.00,555.00,555.00,555.00,1085.00,765.00,4.00
"5370080.01","Hamilton","0080.01",2.80,1895.00,2260.00,2260.00,775.00,775.00,775.00,1885.00,1170.00,4.50
"5370080.03","Hamilton","0080.03",2.90,5010.00,6215.00,6210.00,2165.00,2165.00,2165.00,4890.00,3505.00,9.10
"5370080.05","Hamilton","0080.05",3.30,5470.00,6995.00,6990.00,2120.00,2115.00,2115.00,5470.00,3710.00,4.80
"5370080.06","Hamilton","0080.06",3.00,4125.00,4970.00,4965.00,1650.00,1650.00,1650.00,4125.00,2865.00,3.60
"5370080.07","Hamilton","0080.07",3.20,2465.00,3095.00,3100.00,990.00,985.00,990.00,2510.00,1745.00,5.20
"5370081.00","Hamilton","0081.00",2.10,2045.00,2315.00,2315.00,1065.00,1065.00,1065.00,2045.00,1190.00,6.30
"5370082.00","Hamilton","0082.00",2.10,3050.00,3460.00,3460.00,1695.00,1700.00,1700.00,3030.00,1735.00,8.30
"5370083.00","Hamilton","0083.00",2.10,2080.00,2290.00,2295.00,1165.00,1165.00,1165.00,2045.00,1220.00,7.60
"5370084.01","Hamilton","0084.01",2.70,2310.00,2635.00,2635.00,980.00,980.00,980.00,2340.00,1415.00,7.90
"5370084.02","Hamilton","0084.02",2.40,2665.00,2990.00,2990.00,1250.00,1250.00,1250.00,2605.00,1475.00,7.60
"5370084.03","Hamilton","0084.03",2.70,1760.00,2115.00,2120.00,765.00,765.00,765.00,1820.00,970.00,6.30
"5370084.04","Hamilton","0084.04",2.00,1705.00,1835.00,1830.00,945.00,945.00,945.00,1660.00,985.00,5.30
"5370084.05","Hamilton","0084.05",2.80,2455.00,2865.00,2865.00,1030.00,1030.00,1030.00,2445.00,1490.00,4.10
"5370085.01","Hamilton","0085.01",2.90,3560.00,4230.00,4230.00,1430.00,1430.00,1430.00,3650.00,2200.00,4.80
"5370085.02","Hamilton","0085.02",2.90,5460.00,6530.00,6525.00,2235.00,2235.00,2235.00,5460.00,3630.00,6.20
"5370085.03","Hamilton","0085.03",2.60,3390.00,3920.00,3920.00,1570.00,1575.00,1570.00,3310.00,2300.00,6.80
"5370086.00","Hamilton","0086.00",3.10,7525.00,9715.00,9715.00,3180.00,3180.00,3185.00,7525.00,5445.00,5.20
"5370100.01","Hamilton","0100.01",3.10,7180.00,9625.00,9630.00,3150.00,3150.00,3150.00,7180.00,5415.00,4.90
"5370100.02","Hamilton","0100.02",3.00,5915.00,7890.00,7885.00,2670.00,2670.00,2670.00,5910.00,4385.00,5.10
"5370101.01","Hamilton","0101.01",2.40,6525.00,7810.00,7810.00,3230.00,3230.00,3230.00,6525.00,3235.00,4.60
"5370101.02","Hamilton","0101.02",3.00,3725.00,4650.00,4655.00,1510.00,1515.00,1515.00,3870.00,2445.00,4.00
"5370120.02","Hamilton","0120.02",3.10,1755.00,2165.00,2170.00,690.00,685.00,685.00,1730.00,1035.00,2.90
"5370120.03","Hamilton","0120.03",3.10,5520.00,6835.00,6840.00,2180.00,2175.00,2175.00,5480.00,3600.00,6.50
"5370120.04","Hamilton","0120.04",3.30,4605.00,6060.00,6060.00,1855.00,1850.00,1855.00,4640.00,3130.00,6.10
"5370121.00","Hamilton","0121.00",2.80,1455.00,1810.00,1810.00,625.00,625.00,625.00,1430.00,890.00,2.40
"5370122.01","Hamilton","0122.01",2.70,4430.00,5385.00,5385.00,1975.00,1980.00,1975.00,4435.00,2915.00,4.40
"5370122.02","Hamilton","0122.02",2.90,5380.00,6545.00,6545.00,2295.00,2295.00,2295.00,5380.00,3345.00,3.70
"5370123.00","Hamilton","0123.00",2.80,6190.00,7500.00,7505.00,2680.00,2685.00,2680.00,6190.00,3835.00,5.50
"5370124.00","Hamilton","0124.00",2.80,3125.00,3645.00,3640.00,1280.00,1275.00,1275.00,3070.00,1840.00,6.50
"5370130.02","Hamilton","0130.02",2.50,3265.00,3815.00,3815.00,1530.00,1530.00,1535.00,3315.00,1780.00,5.60
"5370130.03","Hamilton","0130.03",2.40,2735.00,3150.00,3150.00,1325.00,1330.00,1330.00,2785.00,1560.00,4.40
"5370131.00","Hamilton","0131.00",2.40,3875.00,4585.00,4585.00,1885.00,1880.00,1885.00,3890.00,2400.00,6.00
"5370132.00","Hamilton","0132.00",1.90,2545.00,2840.00,2840.00,1545.00,1545.00,1545.00,2535.00,1510.00,4.70
"5370133.01","Hamilton","0133.01",2.90,2935.00,3495.00,3495.00,1180.00,1180.00,1180.00,2950.00,1750.00,5.80
